Only.national.surveys.normal..0.1.,,Only.national.surveys.normal..0.10.,,X80.surveys.normal..0.11.,,X80.surveys.normal..0.10.,
0.64,-1.31-2.72,-0.04,-12.15-12.19,0.61,-1.19-2.44,0.72,-9.43-10.29
-0.02,-0.15-0.13,-0.03,-0.35-0.3,-0.02,-0.09-0.06,-0.03,-0.22-0.18
0.39,-1.04-1.63,0.73,-6.82-7.42,0.44,-0.86-1.64,1.08,-5.16-6.54
-0.04,-0.55-0.52,-0.11,-1.81-1.82,-0.07,-0.49-0.41,-0.20,-1.52-1.27
-0.07,-0.66-0.55,-0.04,-1.55-1.4,-0.07,-0.59-0.43,-0.07,-1.29-1.15
-0.09,-1.71-1.44,0.26,-8.95-8.68,-0.06,-1.57-1.4,0.56,-7.22-7.58
0.08,-1.81-1.97,0.76,-18.45-19.91,0.03,-1.91-1.98,-0.55,-15.36-14.89
0.12,-1.1-1.23,0.30,-3.8-4.17,0.19,-0.83-1.11,0.46,-2.68-3.25
