Only.national.surveys.normal..0.1.,,Only.national.surveys.normal..0.10.,,X80.surveys.normal..0.11.,,X80.surveys.normal..0.10.,
0.77,-1.39-2.95,0.19,-13.94-15.44,0.79,-0.54-2.12,1.26,-2.03-4.49
0.03,-0.15-0.19,0.04,-0.35-0.44,0.02,-0.04-0.08,0.02,-0.04-0.09
-0.08,-1.18-1.15,-0.25,-5.12-4.61,-0.18,-0.77-0.49,-0.11,-0.93-0.73
0.05,-1.1-1.21,-0.13,-6.48-5.83,0.19,-0.12-0.5,0.17,-0.2-0.53
-0.07,-1.28-1.18,-0.32,-7.67-6.84,0.03,-0.13-0.19,0.03,-0.15-0.2
-0.09,-1.17-1.02,-0.28,-5.38-4.7,0.00,-0.54-0.53,-0.03,-0.66-0.6
0.04,-1.93-2.04,1.22,-16.92-19.15,-0.21,-1.94-1.53,-0.96,-5.79-4.14
0.08,-0.93-1.07,0.02,-4.54-4.42,0.14,-0.34-0.62,0.15,-0.41-0.7
