"","Survey ID","Year(s) of study","WHO region","Female participants (N)","Male participants (N)","Reported estimate used","Female TB prevalence (as reported)","Male TB prevalence (as reported)"
"48","Lao Pdr (National)","2010-2011","Western Pacific (WHO)",21474,17738,"Adjusted bacteriological positive TB prevalence","366 (254-477)","855 (646-1064)"
"49","Viet Nam (Hanoi City) ","2003-2004","Western Pacific (WHO)",6477,4340,"Count of bacteriological positive TB","12","10"
"50","Bangladesh (Multiple Areas) ","2001","South-East Asia (WHO)",120423,103513,"Count of smear positive TB","16","48"
"51","India (R.S. Pura Block, Jammu City) ","Not reported","South-East Asia (WHO)",2309,2691,"Count of smear positive TB","2","8"
"52","India (Tiruvallur District)","1999-2001","South-East Asia (WHO)",42535,40855,"Count of culture positive TB","86","430"
"53","Rwanda (National) ","2012","Africa (WHO)",24933,18195,"Adjusted bacteriological positive TB prevalence","53 (20-86)","208 (139-278)"
"54","India (Chennai)","2010-2012","South-East Asia (WHO)",28674,26943,"Adjusted bacteriological positive TB prevalence","140 (97-182)","571 (487-656)"
"55","Ethiopia (Jimma Zone)","2009","Africa (WHO)",13877,13720,"Count of culture positive TB","10","7"
"56","Ethiopia (District 16, Addis Ababa) ","2001","Africa (WHO)",6894,5255,"Count of smear positive TB","11","12"
"57","Zimbabwe (Harare)","2005-2006","Africa (WHO)",6121,3970,"Crude bacteriological positive TB prevalence","570 (400-790)","780 (530-1110)"
"58","Zimbabwe (Harare)",NA,"Africa (WHO)",6213,4022,"Crude smear positive TB prevalence","280 (160-440)","580 (370-870)"
"59","India (Nelamangala Sub-Division) ","2008-2010","South-East Asia (WHO)",33599,29763,"Crude bacteriological positive TB prevalence","50.9 (30.6-71.2)","315.9 (261.8-370.0)"
"60","India (Madhya Pradesh Tribal)","2007-2008","South-East Asia (WHO)",11439,10831,"Adjusted bacteriological positive TB prevalence","233 (101-364)","554 (415-693)"
"61","Ethiopia (Tigray)","2011","Africa (WHO)",6774,5401,"Adjusted bacteriological positive TB prevalence","162 (153.60-171.17)","352 (339.05-364.52)"
"62","Brazil (Sete De Setembro Reserve) ","2003","Americas (WHO)",373,363,"Count of bacteriological positive TB","5","5"
"63","Bangladesh (Mirpur, Dhaka City)","2009-2010","South-East Asia (WHO)",8267,6757,"Count of bacteriological positive TB","10","16"
"64","Zambia (Lusaka Province)","2005","Africa (WHO)",NA,NA,"Adjusted bacteriological positive TB prevalence","800 (470-1130)","940 (560-1320)"
"65","Pakistan (Shimshal Valley) ","1996","Eastern Mediterranean (WHO)",133,98,"Count of smear positive TB","5","1"
"66","Pakistan (Karachi)","2002","Eastern Mediterranean (WHO)",2927,2552,"Count of bacteriological positive TB","7","11"
"67","India (Mohali District) ","2008-2010","South-East Asia (WHO)",42253,43517,"Crude bacteriological positive TB prevalence","14.2 (3.6-24.8)","34.5 (18.2-50.8)"
"68","Uganda (National) ","2014-2015","Africa (WHO)",23669,17485,"Adjusted bacteriological positive TB prevalence","178 (109-248)","734 (554-914)"
"69","Namibia (National)","2017-2018","Africa (WHO)",16900,12595,"Adjusted bacteriological positive TB prevalence","304.4 (196.2-412.7)","643.3 (428.6-858.1)"
"70","Philippines (National) ","2016","Western Pacific (WHO)",25796,20893,"Adjusted bacteriological positive TB prevalence","627 (516-739)","1713 (1482-1943)"
"71","Nepal (National) ","2018-2019","South-East Asia (WHO)",31223,22977,"Adjusted bacteriological positive TB prevalence","235.2 (171.4-299.1)","530.1 (428.3-631.8)"
"72","Mongolia (National)","2014-2015","Western Pacific (WHO)",30239,20070,"Adjusted bacteriological positive TB prevalence","298 (225-372)","840 (646-1033)"
"73","Eswatini (National)","2018-2019","Africa (WHO)",14418,9938,"Adjusted bacteriological positive TB prevalence","293 (181-404)","425 (277-574)"
"74","Myanmar (National) ","2017-2018","South-East Asia (WHO)",38495,27985,"Count of bacteriological positive TB","86","236"
"75","India (National)","2019-2021","South-East Asia (WHO)",180356,142106,"Adjusted bacteriological positive TB prevalence","154 (131-177)","472 (429-514)"
"76","Lesotho (National)","2019","Africa (WHO)",13122,8597,"Adjusted bacteriological positive TB prevalence","327 (218-435)","849 (642-1057)"
"77","DPR Korea (National)","2015-2016","South-East Asia (WHO)",33649,27034,"Adjusted bacteriological positive TB prevalence","319 (256-382)","917 (783-1052)"
"78","Kenya (National)","2015-2016","Africa (WHO)",37006,26044,"Adjusted bacteriological positive TB prevalence","359 (258-460)","809 (656-962)"
"79","Bangladesh (National) ","2015-2016","South-East Asia (WHO)",54345,44365,"Adjusted bacteriological positive TB prevalence","143 (109-178)","452 (379-526)"
"80","Indonesia (National) ","2013-2014","South-East Asia (WHO)",36312,31632,"Adjusted bacteriological positive TB prevalence","460.6 (353.6-590.8)","1082.7 (872.8-1337.3)"
"81","Zimbabwe (National)","2014","Africa (WHO)",19541,14197,"Adjusted bacteriological positive TB prevalence","288 (189-386)","413 (303-523)"
"82","South Africa (National)","2017-2019","Africa (WHO)",21803,13388,"Adjusted bacteriological positive TB prevalence","675 (494-855)","1094 (835-1352)"
"83","China (Multiple Areas)","2013","Western Pacific (WHO)",16057,18212,"Crude bacteriological positive TB prevalence","93.35 (48.97-137.72)","280.25 (198.37-362.14)"
"84","South Africa (Kwazulu Natal)","2018-2019","Africa (WHO)",11618,5500,"Adjusted bacteriological positive TB prevalence","1100 (1000-1300)","1800 (1500-2200)"
"85","India (Kashmir Valley)","2017","South-East Asia (WHO)",20858,21974,"Count of bacteriological positive TB","17","7"
"86","India (National Tribal) ","2015-2020","South-East Asia (WHO)",39000,35532,"Count of bacteriological positive TB","65","134"
"87","India (Saharia Tribal) ","2013-2013","South-East Asia (WHO)",4975,4781,"Count of bacteriological positive TB","62","231"
"88","India (Maharashtra Tribal)","2015-2017","South-East Asia (WHO)",3601,3297,"Count of smear positive TB","1","3"
"89","Viet Nam (National)","2017-2018","Western Pacific (WHO)",34613,27150,"Adjusted bacteriological positive TB prevalence","133 (89-198)","522 (420-648)"
"90","China (Xinjiang Uyghur Region)","2010-2011","Western Pacific (WHO)",15397,14438,"Adjusted bacteriological positive TB prevalence","341 (143-538)","519 (327-712)"
"91","Ethiopia (Hawassa Zuria District) ","2016","Africa (WHO)",12307,12210,"Count of bacteriological positive TB","18","16"
"92","Ethiopia (Hetosa District) ","2013","Africa (WHO)",16166,16907,"Adjusted bacteriological positive TB prevalence","148.5 (81.9-210.4)","112.2 (55.8-170.2)"
"93","Malawi (Blantyre)","2019-2020","Africa (WHO)",9423,6131,"Adjusted bacteriological positive TB prevalence","100 (55-183)","225 (105-479)"
"94","India (Tiruvallur District)","2015-2018","South-East Asia (WHO)",32956,29538,"Count of bacteriological positive TB","28","164"
"95","Ethiopia (Multiple Areas)","2012-2013","Africa (WHO)",4975,5084,"Crude smear positive TB prevalence","121 (55-263)","157 (80-310)"
"96","Ghana (National)","2013","Africa (WHO)",37038,24688,"Adjusted bacteriological positive TB prevalence","303 (223-382)","431 (327-536)"
"97","India (Pohari Block, Shivpuri District)","2012-2013, 2014-2015","South-East Asia (WHO)",4975,4781,"Count of bacteriological positive TB","62","231"
"98","India (Saharia Tribal) ","2019","South-East Asia (WHO)",10070,10044,"Crude bacteriological positive TB prevalence","546 (411-710)","2170 (1895-2475)"
"99","Ethiopia (Dale District) ","2016-2017","Africa (WHO)",NA,NA,"Crude bacteriological positive TB prevalence","93 (72-118)","122 (98-151)"
