Survey ID,Year(s) of study,WHO region,Reported measure of bacteriological TB,Reported female bacteriological TB prevalence,Reported male bacteriological TB prevalence,Total participants (N),Male participants (%) ,Probability of bias
Rwanda (National) ,2012,Africa region,Adjusted bacteriological TB prevalence with confidence interval,53,208,43128,42.1883695,Moderate
India (Chennai),2010-2012,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,140,571,55617,48.44382113,Low
Ethiopia (Jimma Zone),2009,Africa region,Count of persons with culture positive TB,10,7,27597,49.71554879,High
"Ethiopia (District 16, Addis Ababa) ",2001,Africa region,Count of persons with smear positive TB,11,12,12149,43.25458886,Moderate
Zimbabwe (Harare),2005-2006,Africa region,Crude bacteriological TB prevalence with confidence interval,570,780,10092,39.33808958,Moderate
Zimbabwe (Harare),NA,Africa region,Crude smear positive TB prevalence with confidence interval,280,580,10236,39.29269246,High
India (Nelamangala Sub-Division) ,2008-2010,South-East Asia region,Crude bacteriological TB prevalence with confidence interval,50.9,315.9,63362,46.97294909,Moderate
India (Madhya Pradesh Tribal),2007-2008,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,233,554,22270,48.63493489,Moderate
Ethiopia (Tigray),2011,Africa region,Adjusted bacteriological TB prevalence with confidence interval,162,352,12175,44.3613963,Moderate
Brazil (Sete De Setembro Reserve) ,2003,Americas region,Count of persons with bacteriologically positive TB,5,5,736,49.32065217,High
"Bangladesh (Mirpur, Dhaka City)",2009-2010,South-East Asia region,Count of persons with bacteriologically positive TB,10,16,15024,44.97470714,Moderate
Zambia (Lusaka Province),2005,Africa region,Adjusted bacteriological TB prevalence with confidence interval,800,940,8325,Not reported,Moderate
Pakistan (Shimshal Valley) ,1996,Eastern Mediterranean region,Count of persons with smear positive TB,5,1,231,42.42424242,High
Pakistan (Karachi),2002,Eastern Mediterranean region,Count of persons with bacteriologically positive TB,7,11,5479,46.57784267,High
India (Mohali District) ,2008-2010,South-East Asia region,Crude bacteriological TB prevalence with confidence interval,14.2,34.5,85770,50.73685438,Low
Uganda (National) ,2014-2015,Africa region,Adjusted bacteriological TB prevalence with confidence interval,178,734,41154,42.48675706,Low
Namibia (National),2017-2018,Africa region,Adjusted bacteriological TB prevalence with confidence interval,304.4,643.3,29495,42.70215291,Low
Philippines (National) ,2016,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,627,1713,46689,44.74929855,Low
Nepal (National) ,2018-2019,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,235.2,530.1,54200,42.39298893,Low
Mongolia (National),2014-2015,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,298,840,50309,39.89345843,Low
Eswatini (National),2018-2019,Africa region,Adjusted bacteriological TB prevalence with confidence interval,293,425,24356,40.80308753,Low
Myanmar (National) ,2017-2018,South-East Asia region,Count of persons with bacteriologically positive TB,86,236,66480,42.09536703,Moderate
India (National),2019-2021,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,154,472,322480,44.06660878,Low
Lesotho (National),2019,Africa region,Adjusted bacteriological TB prevalence with confidence interval,327,849,21719,39.58285372,Low
DPR Korea (National),2015-2016,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,319,917,60683,44.54954435,Low
Kenya (National),2015-2016,Africa region,Adjusted bacteriological TB prevalence with confidence interval,359,809,63050,41.30689929,Low
Bangladesh (National) ,2015-2016,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,143,452,98710,44.94478776,Low
Indonesia (National) ,2013-2014,South-East Asia region,Adjusted bacteriological TB prevalence with confidence interval,460.6,1082.7,67944,46.55598728,Low
Zimbabwe (National),2014,Africa region,Adjusted bacteriological TB prevalence with confidence interval,288,413,33736,42.08264169,Low
South Africa (National),2017-2019,Africa region,Adjusted bacteriological TB prevalence with confidence interval,675,1094,35191,38.04381802,Low
China (Multiple Areas),2013,Western Pacific region,Crude bacteriological TB prevalence with confidence interval,93.35,280.25,34269,53.14424115,Moderate
South Africa (Kwazulu Natal),2018-2019,Africa region,Adjusted bacteriological TB prevalence with confidence interval,1100,1800,17118,32.12992172,Moderate
India (Kashmir Valley),2017,South-East Asia region,Count of persons with bacteriologically positive TB,17,7,42805,51.3351244,Moderate
India (National Tribal) ,2015-2020,South-East Asia region,Count of persons with bacteriologically positive TB,65,134,74532,47.67348253,Moderate
India (Saharia Tribal) ,2013-2013,South-East Asia region,Count of persons with bacteriologically positive TB,62,231,9756,49.00574006,Moderate
India (Maharashtra Tribal),2015-2017,South-East Asia region,Count of persons with smear positive TB,1,3,6898,47.79646274,High
Viet Nam (National),2017-2018,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,133,522,61763,43.95835695,Low
China (Xinjiang Uyghur Region),2010-2011,Western Pacific region,Adjusted bacteriological TB prevalence with confidence interval,341,519,29835,48.39282722,Low
Ethiopia (Hawassa Zuria District) ,2016,Africa region,Count of persons with bacteriologically positive TB,18,16,24517,49.80217808,Low
Ethiopia (Hetosa District) ,2013,Africa region,Adjusted bacteriological TB prevalence with confidence interval,148.5,112.2,33073,51.12024915,Low
Malawi (Blantyre),2019-2020,Africa region,Adjusted bacteriological TB prevalence with confidence interval,100,225,15897,38.56702522,Moderate
India (Tiruvallur District),2015-2018,South-East Asia region,Count of persons with bacteriologically positive TB,28,164,62494,47.26533747,Moderate
Ethiopia (Multiple Areas),2012-2013,Africa region,Crude smear positive TB prevalence with confidence interval,121,157,10059,50.54180336,Moderate
Ghana (National),2013,Africa region,Adjusted bacteriological TB prevalence with confidence interval,303,431,61726,39.99611185,Low
"India (Pohari Block, Shivpuri District)","2012-2013, 2014-2015",South-East Asia region,Count of persons with bacteriologically positive TB,62,231,9756,49.00574006,Moderate
India (Saharia Tribal) ,2019,South-East Asia region,Crude bacteriological TB prevalence with confidence interval,546,2170,20114,49.9353684,Moderate
Ethiopia (Dale District) ,2016-2017,Africa region,Crude bacteriological TB prevalence with confidence interval,93,122,136181,Not reported,Moderate
