,Survey ID,WHO region,Year(s) of study,HIV+ participants (N),HIV+ TB positive (N),HIV- participants (N),HIV- TB positive (N),Total participants with known HIV Status(N),Total TB positive (N)
1,Malawi (National),Africa region,2013-2014,1840,22,17973,52,19813,74
2,Zambia (National) ,Africa region,2013-2014,2062,NA,28429,NA,30491,NA
3,Zimbabwe (Harare),Africa region,2005-2006,1916,NA,7144,NA,9060,NA
4,Zimbabwe (Harare),Africa region,NA,1916,34,7144,NA,9060,NA
5,Zambia (Lusaka Province),Africa region,2005,NA,43,NA,36,NA,79
6,Lesotho (National),Africa region,2019,NA,39,NA,65,NA,104
7,Kenya (National),Africa region,2015-2016,1627,46,30759,154,32386,200
8,South Africa (National),Africa region,2017-2019,4588,98,22289,93,26877,191
9,Malawi (Blantyre),Africa region,2019-2020,1877,6,12815,23,14692,29
