"","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value","lower_value","upper_value"
"141462","smoking_prev",7,"Democratic People's Republic of Korea",1994,15,"50 to 54",1,"Male",0.658738957720301,0.564361974896988,0.747468849405955
"141463","smoking_prev",7,"Democratic People's Republic of Korea",1994,16,"55 to 59",1,"Male",0.681601169453546,0.585066928915673,0.767708084185815
"141464","smoking_prev",7,"Democratic People's Republic of Korea",1994,17,"60 to 64",1,"Male",0.600480726189988,0.488633405030093,0.694259229108285
"141465","smoking_prev",7,"Democratic People's Republic of Korea",1994,18,"65 to 69",1,"Male",0.499324468686232,0.387465917156159,0.603421679024297
"141466","smoking_prev",7,"Democratic People's Republic of Korea",1994,19,"70 to 74",1,"Male",0.402147205739384,0.302170692099398,0.510330236758381
"141467","smoking_prev",7,"Democratic People's Republic of Korea",1994,20,"75 to 79",1,"Male",0.345678088848668,0.253776613389319,0.444741904660213
"141468","smoking_prev",7,"Democratic People's Republic of Korea",1994,30,"80 to 84",1,"Male",0.246342075261653,0.167873840019298,0.329265279511324
"141469","smoking_prev",7,"Democratic People's Republic of Korea",1994,31,"85 to 89",1,"Male",0.246342075261653,0.167873840019298,0.329265279511324
"141470","smoking_prev",7,"Democratic People's Republic of Korea",1994,32,"90 to 94",1,"Male",0.246342075261653,0.167873840019298,0.329265279511324
"141472","smoking_prev",7,"Democratic People's Republic of Korea",1994,235,"95 plus",1,"Male",0.246342075261653,0.167873840019298,0.329265279511324
"141479","smoking_prev",7,"Democratic People's Republic of Korea",1994,7,"10 to 14",2,"Female",0.0428067668256705,0.0158489743163342,0.087916175172242
"141480","smoking_prev",7,"Democratic People's Republic of Korea",1994,8,"15 to 19",2,"Female",0.0144408716123054,0.00527118177062185,0.0311123760457971
"141481","smoking_prev",7,"Democratic People's Republic of Korea",1994,9,"20 to 24",2,"Female",0.0340427565065376,0.0130821463271194,0.072951318328477
"141482","smoking_prev",7,"Democratic People's Republic of Korea",1994,10,"25 to 29",2,"Female",0.0398748897422193,0.0149534121347483,0.0831315495196934
"141483","smoking_prev",7,"Democratic People's Republic of Korea",1994,11,"30 to 34",2,"Female",0.0438773787904805,0.0163325361730965,0.0942982894531481
"141484","smoking_prev",7,"Democratic People's Republic of Korea",1994,12,"35 to 39",2,"Female",0.0465745335176624,0.0180873243374642,0.094941589609251
"141485","smoking_prev",7,"Democratic People's Republic of Korea",1994,13,"40 to 44",2,"Female",0.0563677278135334,0.0209947934188984,0.126100940228024
"141486","smoking_prev",7,"Democratic People's Republic of Korea",1994,14,"45 to 49",2,"Female",0.0639145591792949,0.0230289972528837,0.136239663858777
"141487","smoking_prev",7,"Democratic People's Republic of Korea",1994,15,"50 to 54",2,"Female",0.0733239465298372,0.0276086155117345,0.151896456168148
"141488","smoking_prev",7,"Democratic People's Republic of Korea",1994,16,"55 to 59",2,"Female",0.0764969382196021,0.0289114163550491,0.154452631679794
"141489","smoking_prev",7,"Democratic People's Republic of Korea",1994,17,"60 to 64",2,"Female",0.071133051688074,0.0287911977578357,0.14772736761244
"141490","smoking_prev",7,"Democratic People's Republic of Korea",1994,18,"65 to 69",2,"Female",0.0571897098789125,0.0219350961191409,0.120757884005713
"141491","smoking_prev",7,"Democratic People's Republic of Korea",1994,19,"70 to 74",2,"Female",0.0434355016497674,0.0166581101879983,0.0899234259205138
"141492","smoking_prev",7,"Democratic People's Republic of Korea",1994,20,"75 to 79",2,"Female",0.0364555726566,0.0137048908198603,0.0790521940007574
"141493","smoking_prev",7,"Democratic People's Republic of Korea",1994,30,"80 to 84",2,"Female",0.0326646975175486,0.0126692691434385,0.0707033220872538
"141494","smoking_prev",7,"Democratic People's Republic of Korea",1994,31,"85 to 89",2,"Female",0.0326646975175486,0.0126692691434385,0.0707033220872538
"141495","smoking_prev",7,"Democratic People's Republic of Korea",1994,32,"90 to 94",2,"Female",0.0326646975175486,0.0126692691434385,0.0707033220872538
"141497","smoking_prev",7,"Democratic People's Republic of Korea",1994,235,"95 plus",2,"Female",0.0326646975175486,0.0126692691434385,0.0707033220872538
"141554","smoking_prev",10,"Cambodia",1994,7,"10 to 14",1,"Male",0.0130743721648185,0.0083340453208105,0.0193704288141676
"141555","smoking_prev",10,"Cambodia",1994,8,"15 to 19",1,"Male",0.0575500705968117,0.0401307680983703,0.0812472982253179
"141556","smoking_prev",10,"Cambodia",1994,9,"20 to 24",1,"Male",0.268255389422059,0.217474660987386,0.324739638759377
"141557","smoking_prev",10,"Cambodia",1994,10,"25 to 29",1,"Male",0.467760315816844,0.402224936775762,0.534373458025115
"141558","smoking_prev",10,"Cambodia",1994,11,"30 to 34",1,"Male",0.568568883119871,0.501495928145168,0.638189671906878
"141559","smoking_prev",10,"Cambodia",1994,12,"35 to 39",1,"Male",0.627590808085396,0.555178963305668,0.693752162914128
"141560","smoking_prev",10,"Cambodia",1994,13,"40 to 44",1,"Male",0.671782967035243,0.603951227997597,0.733482839284734
"141561","smoking_prev",10,"Cambodia",1994,14,"45 to 49",1,"Male",0.675389369310925,0.611464543461409,0.740432844707546
"141562","smoking_prev",10,"Cambodia",1994,15,"50 to 54",1,"Male",0.668257724750955,0.592974353242569,0.733157817791357
"141563","smoking_prev",10,"Cambodia",1994,16,"55 to 59",1,"Male",0.693685903345897,0.626693775158015,0.754315133174465
"141564","smoking_prev",10,"Cambodia",1994,17,"60 to 64",1,"Male",0.677030592662755,0.607585315875564,0.734285086117309
"141565","smoking_prev",10,"Cambodia",1994,18,"65 to 69",1,"Male",0.688608679483098,0.618814556553148,0.751140616787548
"141566","smoking_prev",10,"Cambodia",1994,19,"70 to 74",1,"Male",0.63008684322214,0.551374728424633,0.70113306355867
"141567","smoking_prev",10,"Cambodia",1994,20,"75 to 79",1,"Male",0.641358418882347,0.565105183454424,0.712331307095109
"141568","smoking_prev",10,"Cambodia",1994,30,"80 to 84",1,"Male",0.615698008215112,0.528868570679435,0.697775434892842
"141569","smoking_prev",10,"Cambodia",1994,31,"85 to 89",1,"Male",0.615698008215112,0.528868570679435,0.697775434892842
"141570","smoking_prev",10,"Cambodia",1994,32,"90 to 94",1,"Male",0.615698008215112,0.528868570679435,0.697775434892842
"141572","smoking_prev",10,"Cambodia",1994,235,"95 plus",1,"Male",0.615698008215112,0.528868570679435,0.697775434892842
"141579","smoking_prev",10,"Cambodia",1994,7,"10 to 14",2,"Female",0.00693707338699122,0.00258620778685758,0.0158681288863984
"141580","smoking_prev",10,"Cambodia",1994,8,"15 to 19",2,"Female",0.00946472415935347,0.003590652637881,0.0204456220725071
"141581","smoking_prev",10,"Cambodia",1994,9,"20 to 24",2,"Female",0.0222346246986655,0.0100548392529319,0.0416418736999337
"141582","smoking_prev",10,"Cambodia",1994,10,"25 to 29",2,"Female",0.0350947731629496,0.0172080005212558,0.0622814294228869
"141583","smoking_prev",10,"Cambodia",1994,11,"30 to 34",2,"Female",0.0490767369889855,0.0239316734999596,0.0837759304049532
"141584","smoking_prev",10,"Cambodia",1994,12,"35 to 39",2,"Female",0.0568875665634217,0.0300907996061425,0.0948691078863801
"141585","smoking_prev",10,"Cambodia",1994,13,"40 to 44",2,"Female",0.0599608638392237,0.0321937191933656,0.102544707492414
"141586","smoking_prev",10,"Cambodia",1994,14,"45 to 49",2,"Female",0.0716692194190313,0.0397870379213305,0.11698081859722
"141587","smoking_prev",10,"Cambodia",1994,15,"50 to 54",2,"Female",0.124009566375244,0.0754311673080416,0.187212838105649
"141588","smoking_prev",10,"Cambodia",1994,16,"55 to 59",2,"Female",0.113497553523218,0.0672753851237067,0.173391479169471
"141589","smoking_prev",10,"Cambodia",1994,17,"60 to 64",2,"Female",0.112741379224598,0.0641888752897951,0.182153963728712
"141590","smoking_prev",10,"Cambodia",1994,18,"65 to 69",2,"Female",0.125247249775174,0.0749872360483546,0.197313788975926
"141591","smoking_prev",10,"Cambodia",1994,19,"70 to 74",2,"Female",0.0950492571569587,0.0533937923533163,0.149776844406599
"141592","smoking_prev",10,"Cambodia",1994,20,"75 to 79",2,"Female",0.108868195919861,0.06030206045185,0.179926029736031
"141593","smoking_prev",10,"Cambodia",1994,30,"80 to 84",2,"Female",0.0643463983213921,0.0317150029062281,0.113114602200595
"141594","smoking_prev",10,"Cambodia",1994,31,"85 to 89",2,"Female",0.0643463983213921,0.0317150029062281,0.113114602200595
"141595","smoking_prev",10,"Cambodia",1994,32,"90 to 94",2,"Female",0.0643463983213921,0.0317150029062281,0.113114602200595
"141597","smoking_prev",10,"Cambodia",1994,235,"95 plus",2,"Female",0.0643463983213921,0.0317150029062281,0.113114602200595
"141604","smoking_prev",11,"Indonesia",1994,7,"10 to 14",1,"Male",0.0727955555569929,0.048677489282623,0.105509015084933
"141605","smoking_prev",11,"Indonesia",1994,8,"15 to 19",1,"Male",0.318230208787754,0.282808354510319,0.355941600967053
"141606","smoking_prev",11,"Indonesia",1994,9,"20 to 24",1,"Male",0.633688057889853,0.596684113200407,0.673116348092663
"141607","smoking_prev",11,"Indonesia",1994,10,"25 to 29",1,"Male",0.638623294837643,0.604188861717366,0.673721833434572
"141608","smoking_prev",11,"Indonesia",1994,11,"30 to 34",1,"Male",0.660483876161718,0.623490705381991,0.691982652855017
"141609","smoking_prev",11,"Indonesia",1994,12,"35 to 39",1,"Male",0.643424070153287,0.61066619435143,0.674915536914907
"141610","smoking_prev",11,"Indonesia",1994,13,"40 to 44",1,"Male",0.63444575875269,0.602260131245582,0.666505094928461
"141611","smoking_prev",11,"Indonesia",1994,14,"45 to 49",1,"Male",0.613800987476971,0.576963682871194,0.646146908640546
"141612","smoking_prev",11,"Indonesia",1994,15,"50 to 54",1,"Male",0.591284605404928,0.557689312013608,0.624574780112168
"141613","smoking_prev",11,"Indonesia",1994,16,"55 to 59",1,"Male",0.557357762606812,0.522574212783986,0.591034379927466
"141614","smoking_prev",11,"Indonesia",1994,17,"60 to 64",1,"Male",0.52255977960808,0.486728674929414,0.558706368987254
"141615","smoking_prev",11,"Indonesia",1994,18,"65 to 69",1,"Male",0.485669245080455,0.447739770812652,0.521275427695698
"141616","smoking_prev",11,"Indonesia",1994,19,"70 to 74",1,"Male",0.44315583189925,0.405152309536442,0.47768883239708
"141617","smoking_prev",11,"Indonesia",1994,20,"75 to 79",1,"Male",0.442767766125752,0.40158053358461,0.486568515097402
"141618","smoking_prev",11,"Indonesia",1994,30,"80 to 84",1,"Male",0.336499812758784,0.296870298635711,0.375503019353711
"141619","smoking_prev",11,"Indonesia",1994,31,"85 to 89",1,"Male",0.336499812758784,0.296870298635711,0.375503019353711
"141620","smoking_prev",11,"Indonesia",1994,32,"90 to 94",1,"Male",0.336499812758784,0.296870298635711,0.375503019353711
"141622","smoking_prev",11,"Indonesia",1994,235,"95 plus",1,"Male",0.336499812758784,0.296870298635711,0.375503019353711
"141629","smoking_prev",11,"Indonesia",1994,7,"10 to 14",2,"Female",0.0123436367254313,0.00469777190880334,0.0259639489963094
"141630","smoking_prev",11,"Indonesia",1994,8,"15 to 19",2,"Female",0.0155664676840306,0.00693070517154212,0.0312616677684469
"141631","smoking_prev",11,"Indonesia",1994,9,"20 to 24",2,"Female",0.0198029754860109,0.00869915089599084,0.0382851792268547
"141632","smoking_prev",11,"Indonesia",1994,10,"25 to 29",2,"Female",0.0228768596529757,0.0105472231917842,0.0427450376196249
"141633","smoking_prev",11,"Indonesia",1994,11,"30 to 34",2,"Female",0.0314124146182296,0.0154529972638847,0.0543469678883581
"141634","smoking_prev",11,"Indonesia",1994,12,"35 to 39",2,"Female",0.0352032530233608,0.0186219462829587,0.0606796645158708
"141635","smoking_prev",11,"Indonesia",1994,13,"40 to 44",2,"Female",0.0360691053133586,0.018836648455678,0.0616883051069868
"141636","smoking_prev",11,"Indonesia",1994,14,"45 to 49",2,"Female",0.0478150292219326,0.0276262915815451,0.0754627562784564
"141637","smoking_prev",11,"Indonesia",1994,15,"50 to 54",2,"Female",0.0506320383344869,0.0295562204334022,0.0795515873965261
"141638","smoking_prev",11,"Indonesia",1994,16,"55 to 59",2,"Female",0.0693035433856567,0.044078653286964,0.101574956635312
"141639","smoking_prev",11,"Indonesia",1994,17,"60 to 64",2,"Female",0.0486853344295346,0.0276690318537935,0.078341950875171
"141640","smoking_prev",11,"Indonesia",1994,18,"65 to 69",2,"Female",0.0516287177913052,0.0300955805663608,0.083243874534017
"141641","smoking_prev",11,"Indonesia",1994,19,"70 to 74",2,"Female",0.0431677293630529,0.0241071423077977,0.0720879528982209
"141642","smoking_prev",11,"Indonesia",1994,20,"75 to 79",2,"Female",0.047352287585527,0.0264051534101214,0.0766932207892188
"141643","smoking_prev",11,"Indonesia",1994,30,"80 to 84",2,"Female",0.0462623647702585,0.0258846575618469,0.0747605554273075
"141644","smoking_prev",11,"Indonesia",1994,31,"85 to 89",2,"Female",0.0462623647702585,0.0258846575618469,0.0747605554273075
"141645","smoking_prev",11,"Indonesia",1994,32,"90 to 94",2,"Female",0.0462623647702585,0.0258846575618469,0.0747605554273075
"141647","smoking_prev",11,"Indonesia",1994,235,"95 plus",2,"Female",0.0462623647702585,0.0258846575618469,0.0747605554273075
"141654","smoking_prev",12,"Lao People's Democratic Republic",1994,7,"10 to 14",1,"Male",0.0781186775631261,0.0528644792241808,0.111291003055683
"141655","smoking_prev",12,"Lao People's Democratic Republic",1994,8,"15 to 19",1,"Male",0.185121029972596,0.131448231037222,0.246134576199956
"141656","smoking_prev",12,"Lao People's Democratic Republic",1994,9,"20 to 24",1,"Male",0.324730277359354,0.246059532764652,0.407816591554425
"141657","smoking_prev",12,"Lao People's Democratic Republic",1994,10,"25 to 29",1,"Male",0.393815218224034,0.309933960021846,0.479752941399583
