measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,163,India,3,Both,22,All ages,975,Diabetes mellitus type 1,2,Percent,2021,0.001912363,0.002439307,0.001506042
5,Prevalence,163,India,1,Male,22,All ages,975,Diabetes mellitus type 1,3,Rate,2021,182.9257892,234.50415960962002,143.8603814
5,Prevalence,163,India,2,Female,22,All ages,975,Diabetes mellitus type 1,3,Rate,2021,192.3051272,247.8194955,149.75809136665998
5,Prevalence,163,India,3,Both,22,All ages,975,Diabetes mellitus type 1,3,Rate,2021,187.5028142,239.414943,147.7759764
5,Prevalence,163,India,1,Male,22,All ages,298,HIV/AIDS,1,Number,2021,1130921.4050218614,1308669.2149612687,981097.8176930116
5,Prevalence,163,India,2,Female,22,All ages,298,HIV/AIDS,1,Number,2021,787174.666,915671.2790162944,675062.8498854546
5,Prevalence,163,India,3,Both,22,All ages,298,HIV/AIDS,1,Number,2021,1918096.071002393,2218866.1859342223,1663550.453802833
5,Prevalence,163,India,1,Male,22,All ages,298,HIV/AIDS,2,Percent,2021,0.001606407,0.0018543,0.001391217
5,Prevalence,163,India,2,Female,22,All ages,298,HIV/AIDS,2,Percent,2021,0.00115276,0.001341718,0.000989402
5,Prevalence,163,India,3,Both,22,All ages,298,HIV/AIDS,2,Percent,2021,0.001383041,0.001597381,0.001200035
5,Prevalence,163,India,1,Male,22,All ages,298,HIV/AIDS,3,Rate,2021,156.15386684966998,180.6966934,135.4667241
5,Prevalence,163,India,2,Female,22,All ages,298,HIV/AIDS,3,Rate,2021,114.0403647,132.6560561,97.79838826
5,Prevalence,163,India,3,Both,22,All ages,298,HIV/AIDS,3,Rate,2021,135.6028904,156.8663181,117.6073781
5,Prevalence,163,India,1,Male,22,All ages,976,Diabetes mellitus type 2,1,Number,2021,40758329.47249616,45099864.58149646,36786035.09260175
5,Prevalence,163,India,2,Female,22,All ages,976,Diabetes mellitus type 2,1,Number,2021,34383259.079173766,38025829.04982814,30812546.17183981
5,Prevalence,163,India,3,Both,22,All ages,976,Diabetes mellitus type 2,1,Number,2021,75141588.55166987,82889788.85287777,67534099.01220609
5,Prevalence,163,India,1,Male,22,All ages,976,Diabetes mellitus type 2,2,Percent,2021,0.057894543,0.064017658,0.052235324
5,Prevalence,163,India,2,Female,22,All ages,976,Diabetes mellitus type 2,2,Percent,2021,0.050351837,0.055694123,0.045119175
5,Prevalence,163,India,3,Both,22,All ages,976,Diabetes mellitus type 2,2,Percent,2021,0.05418066,0.059655738,0.048736849
5,Prevalence,163,India,1,Male,22,All ages,976,Diabetes mellitus type 2,3,Rate,2021,5627.774596,6227.239327,5079.293398
5,Prevalence,163,India,2,Female,22,All ages,976,Diabetes mellitus type 2,3,Rate,2021,4981.2063,5508.9163830341595,4463.906367
5,Prevalence,163,India,3,Both,22,All ages,976,Diabetes mellitus type 2,3,Rate,2021,5312.255603,5860.0271,4774.4318797366095
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1990,683685.6254,789779.6793,593331.6984202645
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1990,484122.1156990897,574804.3817374685,407125.5994219122
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1990,1167807.7410672277,1359621.155102777,1001441.4893020552
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1990,0.000330071,0.000389105,0.000282542
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1990,0.0002408,0.000287155,0.000200715
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1990,0.000286097,0.000337597,0.000241206
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1990,112.6634088,130.14647024439998,97.77413658
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1990,84.99060256879001,100.91042978383001,71.47339254701001
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1990,99.26476111,115.56908248911002,85.12347256
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1991,688149.1781360001,789840.4260516355,608175.8158028884
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1991,482094.1894,561177.5254038164,412322.67920846667
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1991,1170243.3675712484,1338394.2642350113,1021984.4185029004
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1991,0.000328497,0.000383564,0.000285476
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1991,0.000237566,0.000280559,0.00020073
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1991,0.000283751,0.000331127,0.00024368
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1991,111.7422421,128.25495247989002,98.75610032414001
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1991,83.55560743,97.26217415,71.46294785
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1991,98.10808944731001,112.20512572855999,85.67870712
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1992,688822.7051,785032.8286708348,613074.4904371186
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1992,477448.4931728669,546876.3768,414769.6737963887
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1992,1166271.1982769086,1329156.4227340603,1030995.9819492048
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1992,0.000326326,0.000378139,0.00028463
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1992,0.000233823,0.00027371,0.000200708
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1992,0.000280839,0.00032524,0.00024372
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1992,110.525453,125.962905,98.37122854
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1992,81.89311168,93.80154894,71.14229012
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,96.68652588392999,110.1900802,85.47190382667999
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1993,686129.0864083489,772928.8625903181,613055.2656
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1993,470752.7876209206,534136.6554,413468.1150644692
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1993,1156881.8740292697,1305505.3098184648,1032061.2653665572
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1993,0.000323636,0.00037266,0.000283705
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1993,0.000229669,0.00026647,0.000199104
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1993,0.000277442,0.000319286,0.000243056
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1993,109.0451369,122.8400534,97.43165925
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1993,80.05584198621999,90.83485177,70.31405646
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1993,95.04091129,107.2507203,84.78656756
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1994,680753.8376623966,755913.6981529255,611612.7145997387
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1994,462556.30502009625,519483.80597197794,412815.1825098557
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1994,1143310.1426824927,1275812.577997003,1028935.5092670036
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1994,0.000320705,0.000366484,0.000282618
