Country Name,Series Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Malawi,female,5223593,5212841,5313669,5418683,5534755,5667405,5810372,5957252,6109269,6268603,6437240,6615823,6803683,6999609,7202920,7413188,7629393,7850013,8074103,8302533,8535032,8769790,9008726,9252768,9500563,9753369,10011613,10272771
Malawi,male,4941301,4937276,5038559,5143352,5258121,5380399,5505570,5635806,5771171,5912971,6063497,6224208,6395018,6576734,6773497,6982600,7197070,7415009,7635474,7859283,8086506,8315797,8549013,8786947,9027518,9272383,9522275,9774487
Mongolia,female,1111599,1130478,1149007,1166445,1183841,1201840,1217516,1230531,1244591,1258888,1271698,1284654,1299122,1315571,1335285,1358212,1381042,1405320,1433455,1463845,1495638,1526288,1555206,1582417,1608630,1634513,1663059,1692787
Mongolia,male,1077796,1094467,1110500,1125305,1139968,1154973,1170783,1187220,1204436,1221486,1236714,1251753,1268046,1286279,1307916,1332903,1357580,1380997,1406250,1435166,1467475,1500576,1533650,1566500,1599559,1633160,1664145,1690954
Myanmar,female,20975528,21254140,21533474,21816119,22096737,22367693,22625338,22871764,23108711,23332039,23538696,23729138,23908031,24083115,24211401,24341747,24528751,24731987,24946550,25164590,25379693,25589467,25798842,26004364,26198925,26389410,26585323,26780850
Myanmar,male,21079615,21351198,21621386,21892679,22161056,22420031,22665503,22899375,23123942,23335153,23530076,23709227,23877104,24041928,24179392,24318712,24495631,24687833,24890896,25098068,25301941,25499589,25696854,25890574,26073322,26251303,26431199,26606252
Namibia,female,803924,828020,851098,873724,896460,919283,941359,961143,977710,991392,1003754,1016145,1029052,1042829,1057616,1073389,1090194,1109031,1133212,1161638,1190973,1221651,1253796,1287366,1322414,1358966,1398226,1439149
Namibia,male,752380,774150,795005,815540,836285,857085,877288,895905,912260,926072,938328,950437,962836,975771,989440,1004005,1019617,1037294,1061442,1090870,1121166,1152649,1185417,1219487,1254913,1291528,1330536,1371399
Nepal,female,10699113,10968249,11227050,11477658,11720925,11957646,12185495,12405322,12619850,12827343,13022746,13204542,13371629,13525740,13670563,13806900,13936198,14043660,14128275,14206812,14294003,14403618,14505809,14581601,14660531,14813382,15024010,15234961
Nepal,male,11018366,11277190,11514812,11741805,11959432,12167553,12361014,12541426,12709131,12861415,12993910,13104916,13193796,13262752,13319474,13366135,13405754,13420834,13406640,13383184,13378367,13420011,13449653,13429657,13419158,13600682,13942564,14240049
Nigeria,female,54066007,55485010,56931955,58405979,59914240,61470622,63095927,64790613,66543143,68354109,70225593,72156231,74144466,76197054,78316557,80497321,82748161,85069157,87430382,89806513,92182379,94518735,96848902,99196111,101480187,103695842,105897424,108111257
Nigeria,male,53869707,55334418,56822824,58348813,59932014,61576698,63286567,65071982,66928846,68848535,70831452,72861022,74932868,77070207,79278457,81552143,83894725,86310441,88770243,91242930,93714536,96153143,98594798,101058468,103458568,105789799,108098757,110418029
"Korea, Dem. People's Rep.",female,11496793,11631322,11741357,11846015,11943816,12034599,12116863,12190080,12253287,12326054,12408584,12480002,12544940,12606329,12664539,12718436,12767723,12815947,12864205,12913109,12962725,13012623,13062288,13111606,13159959,13206827,13250754,13289964
"Korea, Dem. People's Rep.",male,10897182,11037982,11154389,11264815,11367748,11463000,11549047,11625278,11690686,11764326,11846359,11916431,11979567,12040054,12100079,12159896,12219535,12281927,12347523,12416342,12488537,12562727,12636038,12706103,12771188,12830805,12885558,12942570
Pakistan,female,63081213,64975021,66923700,68873953,70836649,72822833,74915308,77047538,79032155,80988807,83048042,85106299,87212749,89618072,92123038,94570103,97004730,99266456,101238739,102956663,104568523,106099595,107541715,109126592,110970023,112921196,115047726,117358452
Pakistan,male,67666870,69607232,71633392,73657851,75685707,77742544,79963819,82223369,84190394,86121441,88237958,90346913,92469941,94875159,97376075,99806431,102234317,104479609,106428386,108117315,109696124,111191288,112597154,114147375,115958869,117879703,119954020,122119349
Philippines,female,34394812,35167837,35983569,36836257,37746477,38696561,39617859,40490405,41327368,42162747,42998916,43816634,44591090,45398890,46229387,47090207,48044635,48977035,49910854,50832021,51672020,52476447,53242092,53999406,54754964,55506906,56175775,56681259
Philippines,male,34624479,35378409,36206673,37072553,38044547,39056696,40007538,40911083,41741521,42569088,43395588,44199328,44917896,45676294,46469708,47294043,48292490,49271579,50264658,51244315,52095110,52836545,53493627,54120287,54710323,55297777,55905489,56419691
Rwanda,female,3465801,2955472,3491592,4033370,4206184,4249235,4291977,4338981,4404326,4498483,4609011,4724005,4843074,4965528,5090049,5215568,5341376,5466485,5592023,5722427,5857759,5995302,6134976,6276692,6420052,6564443,6709518,6854356
Rwanda,male,3326551,2718646,3217172,3721868,3875497,3898677,3921954,3948113,3995854,4088392,4207833,4330523,4456172,4584405,4714220,4844864,4976177,5107248,5237878,5370913,5506998,5644720,5784207,5925368,6067944,6211660,6356319,6500904
South Africa,female,21730022,22596583,23358845,23948882,24242321,24511041,24743649,24956582,25173802,25393002,25614018,25837572,26066628,26308996,26582180,26871093,27159465,27465137,27841809,28275670,28704167,29194266,29479001,29730327,30211847,30695653,31181202,31649230
South Africa,male,22274117,21944971,21764173,21717956,21981559,22219294,22416070,22610218,22845613,23107346,23377403,23652461,23931649,24219588,24532419,24857423,25184586,25530068,25940758,26403121,26890671,27529271,27780550,27904835,28401154,28892232,29381179,29853373
Sudan,female,11977858,12297874,12585897,12878607,13215228,13557477,13906211,14262551,14626525,14971822,15317990,15687995,16066562,16462017,16899559,17377565,17804772,18173011,18569902,19008467,19535118,20143156,20768693,21503504,22269141,22935758,23565489,24214787
Sudan,male,12066090,12374269,12645631,12921214,13243771,13573136,13910534,14254219,14602202,14924213,15238647,15574449,15925873,16302118,16724421,17191548,17609627,17967795,18353276,18777382,19288200,19881275,20491199,21210802,21961455,22612417,23223742,23852137
Tanzania,female,14753905,15206568,15532641,15885093,16312974,16757990,17235727,17712781,18191098,18692353,19220319,19774479,20349097,20937593,21527596,22096302,22690306,23338862,24018871,24744828,25507952,26327523,27200908,28094171,28981818,29860889,30768333,31701548
Tanzania,male,14688451,15176929,15413121,15692996,16107484,16542340,17024412,17485518,17930206,18397202,18889349,19407597,19945805,20497919,21043132,21537680,22068182,22690505,23355389,24079300,24843560,25693439,26623105,27558719,28455327,29314002,30204465,31128864
Thailand,female,29187074,29638596,30086205,30527940,30968677,31399187,31785527,32126687,32450848,32767624,33074722,33371934,33660927,33941308,34212346,34475427,34722918,34962671,35206262,35441778,35659906,35856230,36051319,36238464,36384841,36498738,36601089,36686198
Thailand,male,29073780,29459636,29833859,30196644,30553953,30899856,31222288,31524454,31815589,32100542,32377325,32645486,32906760,33161086,33407484,33645653,33856529,34044537,34229836,34403336,34556461,34684565,34808522,34921723,34991238,35023533,35040395,35041134
Uganda,female,10252841,10533923,10819034,11132895,11463872,11835419,12207750,12581652,12976787,13388571,13791950,14198215,14615077,15045636,15488932,15944629,16414198,16895483,17386164,17885235,18413800,18981075,19614061,20302070,20994867,21710133,22437739,23163441
Uganda,male,9855960,10131744,10412516,10723151,11051934,11421862,11792400,12164024,12556083,12963553,13362565,13765074,14178926,14607794,15050621,15506522,15976604,16459060,16951274,17451807,17981739,18550371,19185091,19875318,20570964,21289504,22019413,22747489
Viet Nam,female,36153130,36755217,37314605,37850432,38378801,38873772,39328947,39768451,40207727,40653776,41090414,41508486,42107114,42909041,43748397,44421765,44912426,45410433,45919531,46434808,46971117,47527300,48084841,48636377,49147626,49610246,50061601,50486603
Viet Nam,male,34701261,35294723,35841842,36376457,36920859,37413680,37825064,38200910,38564497,38910001,39248557,39579827,40060783,40724334,41427391,42038253,42542726,43057881,43590825,44138296,44708461,45295954,45915276,46540600,47089693,47563530,48017590,48448495
Zambia,female,4435361,4546483,4661148,4781419,4906679,5036972,5175350,5325571,5482817,5646844,5819751,6004061,6201876,6411278,6630737,6857391,7088827,7321935,7558420,7799772,8046415,8297353,8553749,8815589,9081205,9351835,9626158,9900765
Zambia,male,4140908,4239280,4342905,4455644,4575729,4703033,4842281,4999614,5165132,5336751,5518447,5714758,5927677,6153807,6390587,6632998,6876767,7115861,7355209,7599225,7848900,8101736,8360674,8625731,8892364,9162004,9433237,9702842
Zimbabwe,female,5696816,5759099,5854195,5960305,6071691,6168979,6233089,6282984,6346623,6424049,6498530,6567254,6648424,6734847,6818684,6917212,7031527,7160049,7285961,7393960,7491842,7588874,7690502,7797375,7908981,8027926,8156300,8291728
Zimbabwe,male,5176332,5215500,5304165,5409522,5522606,5614479,5658966,5688917,5741030,5808274,5867366,5916178,5988021,6069211,6140465,6225578,6325021,6435375,6531926,6619848,6715517,6810139,6909792,7015107,7125471,7243442,7370588,7505482
