covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
adult_underweight,161,Bangladesh,1994,27,Age-standardized,1,Male,0.13615277,0.13615277,0.13615277
adult_underweight,161,Bangladesh,1994,27,Age-standardized,2,Female,0.14912643,0.14912643,0.14912643
adult_underweight,161,Bangladesh,1995,27,Age-standardized,1,Male,0.13675246,0.13675246,0.13675246
adult_underweight,161,Bangladesh,1995,27,Age-standardized,2,Female,0.14934072,0.14934072,0.14934072
adult_underweight,161,Bangladesh,1996,27,Age-standardized,1,Male,0.13725855,0.13725855,0.13725855
adult_underweight,161,Bangladesh,1996,27,Age-standardized,2,Female,0.14960669,0.14960669,0.14960669
adult_underweight,161,Bangladesh,1997,27,Age-standardized,1,Male,0.13738182,0.13738182,0.13738182
adult_underweight,161,Bangladesh,1997,27,Age-standardized,2,Female,0.14587902,0.14587902,0.14587902
adult_underweight,161,Bangladesh,1998,27,Age-standardized,1,Male,0.13708935,0.13708935,0.13708935
adult_underweight,161,Bangladesh,1998,27,Age-standardized,2,Female,0.14153097,0.14153097,0.14153097
adult_underweight,161,Bangladesh,1999,27,Age-standardized,1,Male,0.13236469,0.13236469,0.13236469
adult_underweight,161,Bangladesh,1999,27,Age-standardized,2,Female,0.1365595,0.1365595,0.1365595
adult_underweight,161,Bangladesh,2000,27,Age-standardized,1,Male,0.12953514,0.12953514,0.12953514
adult_underweight,161,Bangladesh,2000,27,Age-standardized,2,Female,0.13103006,0.13103006,0.13103006
adult_underweight,161,Bangladesh,2001,27,Age-standardized,1,Male,0.12522830000000001,0.12522830000000001,0.12522830000000001
adult_underweight,161,Bangladesh,2001,27,Age-standardized,2,Female,0.12512919,0.12512919,0.12512919
adult_underweight,161,Bangladesh,2002,27,Age-standardized,1,Male,0.121903,0.121903,0.121903
adult_underweight,161,Bangladesh,2002,27,Age-standardized,2,Female,0.12020833,0.12020833,0.12020833
adult_underweight,161,Bangladesh,2003,27,Age-standardized,1,Male,0.11898983,0.11898983,0.11898983
adult_underweight,161,Bangladesh,2003,27,Age-standardized,2,Female,0.1177613,0.1177613,0.1177613
