"Study.title","Study.ID","Column.name","Error.message"
"Cross-sectional studies of tuberculosis prevalence in Cambodia between 2002 and 2011",26910,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Community-based prevalence of undiagnosed mycobacterial diseases in the Afar Region, north-east Ethiopia",26906,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"The first national TB prevalence survey of Lao PDR (2010-2011)",26905,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme",26893,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control",26892,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India",26884,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan",26873,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Namibia Tuberculosis disease prevalence survey, 2017-2018",26869,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",26868,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Lesotho Tuberculosis Prevalence Survey",26862,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Report of DPRK National TB
Prevalence Survey
(2015–2016)",26861,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence and risk factors of active pulmonary tuberculosis among elderly people in China: a population based cross-sectional study",26740,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"The second national tuberculosis prevalence survey in Vietnam",24644,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in western China in 2010-11: a population-based, cross-sectional survey",24214,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"A tuberculosis nationwide prevalence survey in Gambia, 2012",20811,"n.eligible.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)",26973,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey",26948,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator",26932,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012",26919,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"A survey of tuberculosis prevalence in Hanoi, Vietnam",26899,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme",26893,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial",26887,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalent infectious tuberculosis in Harare, Zimbabwe: burden, risk factors and implications for control",26886,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
