Study.title,Study.ID,Consensus Asignee 
"National Tb Prevalence Survey, 2022. Cambodia",26912,PM
"The First Population-Based National Tuberculosis Prevalence Survey In Ethiopia, 2010-2011",26913,PM
"Report On National Tb Prevalence Survey 2009-2010, Myanmar",26915,PM
Sputum Positive Point Prevallence Survey,26916,PM
"Report First National Tb Prevalence Survey 2012, Nigeria",26917,PM
Zambia National Tuberculosis Prevalence Survey 2013-2014 Technical Report,26918,PM
"Prevalence Of Pulmonary Tuberculosis In Adult Population Of Tanzania: a National Survey, 2012",26919,HC
The Gambian Survey Of Tuberculosis Prevalence (Gamstep),26920,PM
"Prevalence Of Tuberculosis In Adolescents, Western Kenya: Implications For Control Programs",26924,NSW
Prevalence Of Pulmonary Tuberculosis Among The Adult Population Of Pakistan 2010-2011,26928,NSW
Prevalence Of Pulmonary Tuberculosis - A Baseline Survey In Central India,26929,MHC
"Prevalence Of Pulmonary Tuberculosis Among The Bharia, a Primitive Tribe Of Madhya Pradesh, Central India",26930,PM
"Pulmonary Tuberculosis: a Public Health Problem Amongst The Saharia, a Primitive Tribe Of Madhya Pradesh, Central India",26931,PM
Active Detection Of Tuberculosis And Paragonimiasis In The Remote Areas In North-Eastern India Using Cough As a Simple Indicator,26932,MHC
Pulmonary Tuberculosis In An Indigenous Community In The Mountains Of Ecuador,26933,PM
Determining The Burden Of Tuberculosis In Eritrea: a New Approach,26935,PM
Yield Of Undetected Tuberculosis And Human Immunodeficiency Virus Coinfection From Active Case Finding In Urban Uganda,26936,PM
"Active Case Finding Of Undetected Tuberculosis Among Chronic Coughers In a Slum Setting In Kampala, Uganda",26937,KH
Prevalence Of Smear-Positive Pulmonary Tuberculosis In a Rural District Of Ethiopia,26938,HC
"Prevalence Of Tuberculosis In Faridabad District, Haryana State, India",26939,NSW
Three-Fold Reduction In The Prevalence Of Tuberculosis Over 25 Years In Indonesia,26940,PM
Two-Thirds Of Smear-Positive Tuberculosis Cases In The Community Were Undiagnosed In Northwest Ethiopia: Population Based Cross-Sectional Study,26942,KH
"Do Women With Tuberculosis Have a Lower Likelihood Of Getting Diagnosed? Prevalence And Case Detection Of Sputum Smear Positive Pulmonary Tb, a Population-Based Study From Vietnam",26943,PM
Significant Decline In The Tuberculosis Burden In The Philippines Ten Years After Initiating Dots,26944,NSW
The 1997 Nationwide Tuberculosis Prevalence Survey In The Philippines,26946,PM
High Prevalence Of Pulmonary Tuberculosis And Inadequate Case Finding In Rural Western Kenya,26947,KH
Low Tuberculosis Notification In Mountainous Vietnam Is Not Due To Low Case Detection: a Cross-Sectional Survey,26948,KH
"Tuberculosis Prevalence In China, 1990‚Äì2010; a Longitudinal Analysis Of National Survey Data",26949,PM
Analysis Of Tuberculosis Screening Results In Six Remote Villages In Yunnan Province,26950,NM
Changes In Pulmonary Tuberculosis Prevalence: Evidence From The 2010 Population Survey In a Populous Province Of China,26951,PM
Undiagnosed Tuberculosis In a Community With High Hiv Prevalence: Implications For Tuberculosis Control,26953,NM
Evaluating An Active Case-Finding Strategy To Identify Smear-Positive Tuberculosis In Rural Ethiopia,26955,KH
"Prevalence Of Smear-Positive Tuberculosis In Persons Aged >/= 15 Years In Bangladesh: Results From a National Survey, 2007-2009",26956,PM
Prevalence Of Sputum Smear-Positive Tuberculosis In a Rural Area In Bangladesh,26957,PM
Malawi Tuberculosis Prevalence Survey,26969,PM
"High Prevalence Of Tuberculosis And Insufficient Case Detection In Two Communities In The Western Cape, South Africa",26970,PM
Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia,26971,PM
Sub-National Prevalence Survey Of Tuberculosis In Rural Communities Of Ethiopia,26972,PM
National Survey Of Tuberculosis Prevalence In Viet Nam,26973,PM
"National Tuberculosis Prevalence Surveys In Asia, 1990‚Äì2012: An Overview Of Results And Lessons Learned",26975,NSW
"High Prevalence Of Tuberculosis And Insufficient Case Detection In Two Communities In The Western Cape, South Africa",26978,PM
Active Detection Of Tuberculosis And Paragonimiasis In The Remote Areas In North-Eastern India Using Cough As a Simple Indicator,26979,MHC
"Declining Tuberculosis Prevalence In Saharia,a Particularly Vulnerable Tribal Community Incentral India: Evidences For Action",26980,NM
"Tuberculosis Prevalence In China, 1990‚Äì2010; a Longitudinal Analysis Of National Survey Data",26981,PM
"Prevalence Of Pulmonary Tuberculosis In Wardha District Of Maharashtra, Central India",26982,HC
"Population Based Survey For Assessing Prevalence Of Pulmonary Tuberculosis Cases In The State Of Gujarat, India (2011-2012)",26983,AM
"Prevalence Survey Of Bacillary Pulmonary Tuberculosis In Western Uttar Pradesh, India",26984,AM
"Prevalence Survey Of Bacillary Pulmonary Tuberculosis In Western Uttar Pradesh, India",26985,AM
Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots,26986,PM
Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots,26987,PM
Trends In The Prevalence Of Pulmonary Tuberculosis Over a Period Of Seven And Half Years In a Rural Community In South India With Dots,26988,PM
Sudan Tb Prevalence Survey Report 2013 ‚Äì 2014,26989,PM
"Prevalence Survey Of Bacillary Pulmonary Tuberculosis In Western Uttar Pradesh, India",26990,NM
"Third National TB Prevalence Survey, Cambodia - Summary Report",28646,MHC
Programmatic implications of a sub-national TB prevalence survey in India,27925,NSW
"Persistently high TB prevalence in Nairobi County neighbourhoods, 2015-2022",28002,NSW
,,
