Raw data column name ,Short column name,Type,Description
7.3.13. [Crude] Confidence Interval of 7.3.12 Male,prev100K.CI.bacteriological.tb.male,numeric,
7.3.13. [Crude] Confidence Interval of 7.3.12 Female,prev100K.CI.bacteriological.tb.female,numeric,
7.3.13. [Crude] Confidence Interval of 7.3.12 Total,prev100K.CI.bacteriological.tb.sex.total,numeric,
"7.3.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Male",prev100K.smear.positive.tb.male,numeric,
"7.3.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Female",prev100K.smear.positive.tb.female,numeric,
"7.3.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Total",prev100K.smear.positive.tb.sex.total,numeric,
7.3.15. [Crude] Confidence Interval of 7.3.14 Male,prev100K.CI.smear.positive.tb.male,numeric,
7.3.15. [Crude] Confidence Interval of 7.3.14 Female,prev100K.CI.smear.positive.tb.female,numeric,
7.3.15. [Crude] Confidence Interval of 7.3.14 Total,prev100K.CI.smear.positive.tb.sex.total,numeric,
"7.3.16. [Crude] Prevalence of all forms of TB (per 100,000) Male",prev100K.all.prevalent.tb.male,numeric,
"7.3.16. [Crude] Prevalence of all forms of TB (per 100,000) Female",prev100K.all.prevalent.tb.female,numeric,
"7.3.16. [Crude] Prevalence of all forms of TB (per 100,000) Total",prev100K.all.prevalent.tb.sex.total,numeric,
7.3.17. [Crude] Confidence Interval of 7.3.16 Male,prev100K.CI.all.prevalent.tb.male,numeric,
7.3.17. [Crude] Confidence Interval of 7.3.16 Female,prev100K.CI.all.prevalent.tb.female,numeric,
7.3.17. [Crude] Confidence Interval of 7.3.16 Total,prev100K.CI.all.prevalent.tb.sex.total,numeric,
"7.3.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Male",adj.prev100K.bacteriological.tb.male,numeric,
"7.3.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Female",adj.prev100K.bacteriological.tb.female,numeric,
"7.3.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",adj.prev100K.bacteriological.tb.sex.total,numeric,
7.3.19. [Adjusted] Confidence Interval of 7.3.18 Male,adj.prev100K.CI.bacteriological.tb.male,numeric,
7.3.19. [Adjusted] Confidence Interval of 7.3.18 Female,adj.prev100K.CI.bacteriological.tb.female,numeric,
7.3.19. [Adjusted] Confidence Interval of 7.3.18 Total,adj.prev100K.CI.bacteriological.tb.sex.total,numeric,
"7.3.20 [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Male",adj.prev100K.smear.positive.tb.male,numeric,
"7.3.20 [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Female",adj.prev100K.smear.positive.tb.female,numeric,
"7.3.20 [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Total",adj.prev100K.smear.positive.tb.sex.total,numeric,
7.3.21 [Adjusted] Confidence Interval of 7.3.20 Male,adj.prev100K.CI.smear.positive.tb.male,numeric,
7.3.21 [Adjusted] Confidence Interval of 7.3.20 Female,adj.prev100K.CI.smear.positive.tb.female,numeric,
7.3.21 [Adjusted] Confidence Interval of 7.3.20 Total,adj.prev100K.CI.smear.positive.tb.sex.total,numeric,
"7.3.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Male",adj.prev100K.all.prevalent.tb.male,numeric,
"7.3.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Female",adj.prev100K.all.prevalent.tb.female,numeric,
"7.3.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Total",adj.prev100K.all.prevalent.tb.sex.total,numeric,
7.3.23 [Adjusted] Confidence Interval of 7.3.22 Male,adj.prev100K.CI.all.prevalent.tb.male,numeric,
7.3.23 [Adjusted] Confidence Interval of 7.3.22 Female,adj.prev100K.CI.all.prevalent.tb.female,numeric,
7.3.23 [Adjusted] Confidence Interval of 7.3.22 Total,adj.prev100K.CI.all.prevalent.tb.sex.total,numeric,
Does this study report results by urban/rural stratification? ,report.rurality,logical,
7.4. Results (by rurality):,results.rurality,character,
7.4.1. Eligible participants Urban,n.eligible.urban,integer,
7.4.1. Eligible participants Rural,n.eligible.rural,integer,
7.4.1. Eligible participants Total,n.eligible.rurality.total,integer,
7.4.2. Actual participants Urban,n.participants.urban,integer,
7.4.2. Actual participants Rural,n.participants.rural,integer,
7.4.2. Actual participants Total,n.participants.rurality.total,integer,
7.4.3. People with presumptive TB Urban,n.presumptive.tb.urban,integer,
7.4.3. People with presumptive TB Rural,n.presumptive.tb.rural,integer,
7.4.3. People with presumptive TB Total,n.presumptive.tb.rurality.total,integer,
7.4.4. People with TB symptoms Urban,n.symptoms.urban,integer,
7.4.4. People with TB symptoms Rural,n.symptoms.rural,integer,
7.4.4. People with TB symptoms Total,n.symptoms.rurality.total,integer,
7.4.5. People with abnormal chest X-ray Urban,n.abnormal.xray.urban,integer,
7.4.5. People with abnormal chest X-ray Rural,n.abnormal.xray.rural,integer,
7.4.5. People with abnormal chest X-ray Total,n.abnormal.xray.rurality.total,integer,
7.4.6. Persons with successful sputum samples Urban,n.sputum.sample.urban,integer,
7.4.6. Persons with successful sputum samples Rural,n.sputum.sample.rural,integer,
7.4.6. Persons with successful sputum samples Total,n.sputum.sample.rurality.total,integer,
7.4.7. Radiologically-confirmed TB [bacteriological unconfirmed] Urban,n.radiologic.tb.urban,integer,
7.4.7. Radiologically-confirmed TB [bacteriological unconfirmed] Rural,n.radiologic.tb.rural,integer,
7.4.7. Radiologically-confirmed TB [bacteriological unconfirmed] Total,n.radiologic.tb.rurality.total,integer,
7.4.8. Bacteriologically-confirmed TB Urban,n.bacteriological.tb.urban,integer,
7.4.8. Bacteriologically-confirmed TB Rural,n.bacteriological.tb.rural,integer,
7.4.8. Bacteriologically-confirmed TB Total,n.bacteriological.tb.rurality.total,integer,
7.4.9. Sputum smear-positive TB Urban,n.smear.positive.tb.urban,integer,
7.4.9. Sputum smear-positive TB Rural,n.smear.positive.tb.rural,integer,
7.4.9. Sputum smear-positive TB Total,n.smear.positive.tb.rurality.total,integer,
7.4.10. Culture-positive TB Urban,n.culture.positive.tb.urban,integer,
7.4.10. Culture-positive TB Rural,n.culture.positive.tb.rural,integer,
7.4.10. Culture-positive TB Total,n.culture.positive.tb.rurality.total,integer,
7.4.11. Prevalent TB  Urban,n.prevalent.tb.urban,integer,
7.4.11. Prevalent TB  Rural,n.prevalent.tb.rural,integer,
7.4.11. Prevalent TB  Total,n.prevalent.tb.rurality.total,integer,
"7.4.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Urban",prev100K.bacteriological.tb.urban,numeric,
"7.4.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Rural",prev100K.bacteriological.tb.rural,numeric,
"7.4.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",prev100K.bacteriological.tb.rurality.total,numeric,
7.4.13. [Crude] Confidence Interval of 7.4.12 Urban,prev100K.CI.bacteriological.tb.urban,numeric,
7.4.13. [Crude] Confidence Interval of 7.4.12 Rural,prev100K.CI.bacteriological.tb.rural,numeric,
7.4.13. [Crude] Confidence Interval of 7.4.12 Total,prev100K.CI.bacteriological.tb.rurality.total,numeric,
"7.4.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Urban",prev100K.smear.positive.tb.urban,numeric,
"7.4.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Rural",prev100K.smear.positive.tb.rural,numeric,
"7.4.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Total",prev100K.smear.positive.tb.rurality.total,numeric,
7.4.15. [Crude] Confidence Interval of 7.4.14 Urban,prev100K.CI.smear.positive.tb.urban,numeric,
7.4.15. [Crude] Confidence Interval of 7.4.14 Rural,prev100K.CI.smear.positive.tb.rural,numeric,
7.4.15. [Crude] Confidence Interval of 7.4.14 Total,prev100K.CI.smear.positive.tb.rurality.total,numeric,
"7.4.16. [Crude] Prevalence of all forms of TB (per 100,000) Urban",prev100K.all.prevalent.tb.urban,numeric,
"7.4.16. [Crude] Prevalence of all forms of TB (per 100,000) Rural",prev100K.all.prevalent.tb.rural,numeric,
"7.4.16. [Crude] Prevalence of all forms of TB (per 100,000) Total",prev100K.all.prevalent.tb.rurality.total,numeric,
7.4.17. [Crude] Confidence Interval of 7.4.16 Urban,prev100K.CI.all.prevalent.tb.urban,numeric,
7.4.17. [Crude] Confidence Interval of 7.4.16 Rural,prev100K.CI.all.prevalent.tb.rural,numeric,
7.4.17. [Crude] Confidence Interval of 7.4.16 Total,prev100K.CI.all.prevalent.tb.rurality.total,numeric,
"7.4.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Urban",adj.prev100K.bacteriological.tb.urban,numeric,
"7.4.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Rural",adj.prev100K.bacteriological.tb.rural,numeric,
"7.4.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",adj.prev100K.bacteriological.tb.rurality.total,numeric,
7.4.19. [Adjusted] Confidence Interval of 7.4.18 Urban,adj.prev100K.CI.bacteriological.tb.urban,numeric,
7.4.19. [Adjusted] Confidence Interval of 7.4.18 Rural,adj.prev100K.CI.bacteriological.tb.rural,numeric,
7.4.19. [Adjusted] Confidence Interval of 7.4.18 Total,adj.prev100K.CI.bacteriological.tb.rurality.total,numeric,
"7.4.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Urban",adj.prev100K.smear.positive.tb.urban,numeric,
"7.4.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Rural",adj.prev100K.smear.positive.tb.rural,numeric,
"7.4.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Total",adj.prev100K.smear.positive.tb.rurality.total,numeric,
7.4.21. [Adjusted] Confidence Interval of 7.4.20 Urban,adj.prev100K.CI.smear.positive.tb.urban,numeric,
7.4.21. [Adjusted] Confidence Interval of 7.4.20 Rural,adj.prev100K.CI.smear.positive.tb.rural,numeric,
7.4.21. [Adjusted] Confidence Interval of 7.4.20 Total,adj.prev100K.CI.smear.positive.tb.rurality.total,numeric,
"7.4.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Urban",adj.prev100K.all.prevalent.tb.urban,numeric,
"7.4.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Rural",adj.prev100K.all.prevalent.tb.rural,numeric,
"7.4.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Total",adj.prev100K.all.prevalent.tb.rurality.total,numeric,
7.4.23. [Adjusted] Confidence Interval of 7.4.22 Urban,adj.prev100K.CI.all.prevalent.tb.urban,numeric,
7.4.23. [Adjusted] Confidence Interval of 7.4.22 Rural,adj.prev100K.CI.all.prevalent.tb.rural,numeric,
7.4.23. [Adjusted] Confidence Interval of 7.4.22 Total,adj.prev100K.CI.all.prevalent.tb.rurality.total,numeric,
Does this survey/study report results by HIV status? ,report.hiv,logical,
7.5. Results (by HIV status):,results.hiv,character,
7.5.1. Eligible participants HIV-positive,n.eligible.hiv.positive,integer,
7.5.1. Eligible participants HIV-negative,n.eligible.hiv.negative,integer,
7.5.1. Eligible participants Total,n.eligible.hiv.total,integer,
7.5.2. Participants HIV-positive,n.participants.hiv.positive,integer,
7.5.2. Participants HIV-negative,n.participants.hiv.negative,integer,
7.5.2. Participants Total,n.participants.hiv.total,integer,
7.5.3. People with presumptive TB HIV-positive,n.presumptive.tb.hiv.positive,integer,
7.5.3. People with presumptive TB HIV-negative,n.presumptive.tb.hiv.negative,integer,
7.5.3. People with presumptive TB Total,n.presumptive.tb.hiv.total,integer,
7.5.4. People with TB symptoms HIV-positive,n.symptoms.hiv.positive,integer,
7.5.4. People with TB symptoms HIV-negative,n.symptoms.hiv.negative,integer,
7.5.4. People with TB symptoms Total,n.symptoms.hiv.total,integer,
7.5.5. People with abnormal chest X-ray HIV-positive,n.abnormal.xray.hiv.positive,integer,
7.5.5. People with abnormal chest X-ray HIV-negative,n.abnormal.xray.hiv.negative,integer,
7.5.5. People with abnormal chest X-ray Total,n.abnormal.xray.hiv.total,integer,
7.5.6. Persons with successful sputum samples HIV-positive,n.sputum.sample.hiv.positive,integer,
7.5.6. Persons with successful sputum samples HIV-negative,n.sputum.sample.hiv.negative,integer,
7.5.6. Persons with successful sputum samples Total,n.sputum.sample.hiv.total,integer,
7.5.7. Radiologically-confirmed TB [bacteriological unconfirmed] HIV-positive,n.radiologic.tb.hiv.positive,integer,
7.5.7. Radiologically-confirmed TB [bacteriological unconfirmed] HIV-negative,n.radiologic.tb.hiv.negative,integer,
7.5.7. Radiologically-confirmed TB [bacteriological unconfirmed] Total,n.radiologic.tb.hiv.total,integer,
7.5.8. Bacteriologically-confirmed TB HIV-positive,n.bacteriological.tb.hiv.positive,integer,
7.5.8. Bacteriologically-confirmed TB HIV-negative,n.bacteriological.tb.hiv.negative,integer,
7.5.8. Bacteriologically-confirmed TB Total,n.bacteriological.tb.hiv.total,integer,
7.5.9. Sputum smear-positive TB HIV-positive,n.smear.positive.tb.hiv.positive,integer,
7.5.9. Sputum smear-positive TB HIV-negative,n.smear.positive.tb.hiv.negative,integer,
7.5.9. Sputum smear-positive TB Total,n.smear.positive.tb.hiv.total,integer,
7.5.10. Culture-positive TB HIV-positive,n.culture.positive.tb.hiv.positive,integer,
7.5.10. Culture-positive TB HIV-negative,n.culture.positive.tb.hiv.negative,integer,
7.5.10. Culture-positive TB Total,n.culture.positive.tb.hiv.total,integer,
7.5.11. Prevalent TB HIV-positive,n.prevalent.tb.hiv.positive,integer,
7.5.11. Prevalent TB HIV-negative,n.prevalent.tb.hiv.negative,integer,
7.5.11. Prevalent TB Total,n.prevalent.tb.hiv.total,integer,
"7.5.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) HIV-positive",prev100K.bacteriological.tb.hiv.positive,numeric,
"7.5.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) HIV-negative",prev100K.bacteriological.tb.hiv.negative,numeric,
"7.5.12. [Crude] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",prev100K.bacteriological.tb.hiv.total,numeric,
7.5.13. [Crude] Confidence Interval of 7.5.12 HIV-positive,prev100K.CI.bacteriological.tb.hiv.positive,numeric,
7.5.13. [Crude] Confidence Interval of 7.5.12 HIV-negative,prev100K.CI.bacteriological.tb.hiv.negative,numeric,
7.5.13. [Crude] Confidence Interval of 7.5.12 Total,prev100K.CI.bacteriological.tb.hiv.total,numeric,
"7.5.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) HIV-positive",prev100K.smear.positive.tb.hiv.positive,numeric,
"7.5.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) HIV-negative",prev100K.smear.positive.tb.hiv.negative,numeric,
