"Study.title","Study.ID","Column.name"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.bacteriological.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.bacteriological.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.bacteriological.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.bacteriological.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.smear.positive.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.smear.positive.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.smear.positive.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.prevalent.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.prevalent.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.prevalent.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.prevalent.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","prev100k.ci.prevalent.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.bacteriological.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.5"
